#PSTAR: Stopping Powers and Range Tables for Protons
#
#HYDROGEN                                                                
#
#Kinetic   Total     CSDA      
#Energy    Stp. Pow. Range     
#MeV       MeV cm2/g g/cm2     
#
2.000E+03 4.125E+00 3.945E+02 
2.500E+03 4.107E+00 5.160E+02 
3.000E+03 4.118E+00 6.377E+02 
4.000E+03 4.172E+00 8.791E+02 
5.000E+03 4.240E+00 1.117E+03 
6.000E+03 4.307E+00 1.351E+03 
7.000E+03 4.372E+00 1.581E+03 
8.000E+03 4.431E+00 1.808E+03 
9.000E+03 4.487E+00 2.033E+03 
1.000E+04 4.539E+00 2.254E+03
